"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta","15/602","46/23210",3.31498163404962e-13,1.09980835861612e-10,9.12614138143751e-11,"Irf1/Acod1/Stat1/Ifi211/Gbp2/Ifit1/Irgm1/Iigp1/Ifi205/Irgm2/Ifi204/Ifit3/Igtp/Ifi47/Gbp6",15
"GO:0007093","BP","GO:0007093","mitotic cell cycle checkpoint","23/602","130/23210",3.3444464706455e-13,1.09980835861612e-10,9.12614138143751e-11,"Cdc6/Top2a/Prkdc/Cep192/Pidd1/Bub1/Ints3/Kntc1/Chek2/Mbd4/Plk1/Chek1/Zwilch/Atm/Pml/Ttk/Eme1/Cenpe/Ticrr/Spdl1/Ccnd1/Sox4/Ptprv",23
"GO:0006261","BP","GO:0006261","DNA-dependent DNA replication","23/602","135/23210",7.65801202358713e-13,2.33842867148821e-10,1.94041357289388e-10,"Mcm2/Msh6/Mcm5/Pola1/Pole/Cdc6/Chtf18/Pole2/Dscc1/Mcm10/Mcm8/Cdc7/Chek2/Pold3/Polq/Ddx11/Zranb3/Pold1/Eme1/Ticrr/Chtf8/Lig1/Bod1l",23
"GO:0000280","BP","GO:0000280","nuclear division","39/602","409/23210",2.98739814924955e-12,8.51408472536121e-10,7.06493457050595e-10,"Ube2c/Spag5/Tex15/Kif11/Ncapg/Cdc6/Chtf18/Top2a/Dscc1/Hsf1/Kifc5b/Cep192/Nusap1/Knstrn/Bub1/Il1b/Rad54l/Cit/Chek2/Plk1/Mki67/Chek1/Kif23/Aspm/Fancd2/Atm/Brip1/Ncaph/Ttk/Eme1/Kif14/Spice1/Cenpe/Chtf8/Haspin/Espl1/Numa1/Spdl1/Rad54b",39
"GO:0045786","BP","GO:0045786","negative regulation of cell cycle","41/602","452/23210",4.09148854256854e-12,1.09319459496753e-09,9.07126078187894e-10,"Foxm1/Msh6/Rbm14/Cdc6/Irf1/Prr11/Top2a/Hsf1/Prkdc/Bin1/Cep192/Uhrf2/Pidd1/Bub1/Ints3/Kntc1/Chek2/Ezh2/Mbd4/Plk1/Ets1/Chek1/Usp28/Zwilch/Atm/Taf6/Pml/Ints7/Ttk/Eme1/Trp53bp1/Cenpe/Ticrr/Haspin/Dot1l/Wdr6/Insm1/Spdl1/Ccnd1/Sox4/Ptprv",41
"GO:0048285","BP","GO:0048285","organelle fission","41/602","456/23210",5.42175226536462e-12,1.36341123143728e-09,1.13135016311324e-09,"Mx1/Ube2c/Spag5/Tex15/Kif11/Ncapg/Cdc6/Chtf18/Top2a/Dscc1/Hsf1/Mx2/Kifc5b/Cep192/Nusap1/Knstrn/Bub1/Il1b/Rad54l/Cit/Chek2/Plk1/Mki67/Chek1/Kif23/Aspm/Fancd2/Atm/Brip1/Ncaph/Ttk/Eme1/Kif14/Spice1/Cenpe/Chtf8/Haspin/Espl1/Numa1/Spdl1/Rad54b",41
"GO:0002218","BP","GO:0002218","activation of innate immune response","24/602","164/23210",7.24328834017711e-12,1.72028098079206e-09,1.42747846236239e-09,"Rbm14/Irf1/Havcr2/Rsad2/Acod1/Xrcc6/Prkdc/Irf7/Ifi211/Fcnb/Ifih1/Gfi1/Trim30a/Tlr3/Cgas/Ddx60/Nlrc4/Prkce/Tlr9/Tifa/Tlr11/Ifi205/Irgm2/Ifi204",24
"GO:0000819","BP","GO:0000819","sister chromatid segregation","25/602","180/23210",8.62364566537477e-12,1.87718871913013e-09,1.5576795280932e-09,"Spag5/Ncapg/Cdc6/Top2a/Esco2/Dscc1/Cep192/Nusap1/Knstrn/Bub1/Cit/Plk1/Kif23/Atm/Ncaph/Ddx11/Rmi2/Ttk/Kif14/Cenpe/Chtf8/Haspin/Espl1/Numa1/Spdl1",25
"GO:0006260","BP","GO:0006260","DNA replication","29/602","243/23210",8.78216944622282e-12,1.87718871913013e-09,1.5576795280932e-09,"Chaf1a/Mcm2/Msh6/Mcm5/Pola1/Pole/Id3/Cdc6/Chtf18/Pole2/Esco2/Dscc1/Mcm10/Mcm8/Cdc7/Chek2/Pold3/Usp37/Polq/Ddx11/Zranb3/Rmi2/Pold1/Eme1/Pif1/Ticrr/Chtf8/Lig1/Bod1l",29
"GO:0140014","BP","GO:0140014","mitotic nuclear division","29/602","257/23210",3.50400457673481e-11,7.1331521740673e-09,5.91904532511094e-09,"Ube2c/Spag5/Kif11/Ncapg/Cdc6/Dscc1/Kifc5b/Cep192/Nusap1/Knstrn/Bub1/Il1b/Cit/Chek2/Plk1/Mki67/Chek1/Kif23/Atm/Ncaph/Ttk/Kif14/Spice1/Cenpe/Chtf8/Haspin/Espl1/Numa1/Spdl1",29
"GO:0031349","BP","GO:0031349","positive regulation of defense response","35/602","370/23210",4.99046433149346e-11,9.69737955324297e-09,8.0468252617861e-09,"Rbm14/Med1/Irf1/Havcr2/Rsad2/Acod1/Xrcc6/Prkdc/Cd74/Irf7/Ifi211/Fcnb/Ifih1/Il1b/Zbp1/Stap1/Gfi1/Trim30a/Tlr3/Ets1/Cadm1/Cgas/Ddx60/Nlrc4/Prkce/Tlr9/Tifa/Irgm1/Tlr11/Ifi205/Pla2g4a/Irgm2/Ifi204/Nlrc5/Gbp5",35
"GO:0034341","BP","GO:0034341","response to interferon-gamma","21/602","137/23210",6.10487840700371e-11,1.13471109521482e-08,9.41576211972654e-09,"Med1/Irf1/Acod1/Ciita/Mefv/Stat1/Stxbp1/Gbp2/Trim21/Parp14/H2-Aa/Gbp7/Bst2/Irgm1/H2-Eb1/Irgm2/H2-Ab1/Rpl13a/Nlrc5/Gbp6/Gbp5",21
"GO:0031570","BP","GO:0031570","DNA integrity checkpoint","19/602","111/23210",6.99445505468203e-11,1.24588730661524e-08,1.03382954097712e-08,"Cdc6/Top2a/Prkdc/Pidd1/Chek2/Mbd4/Plk1/Chek1/Usp28/Atm/Pml/Ints7/Eme1/Trp53bp1/Ticrr/Dot1l/Ccnd1/Sox4/Ptprv",19
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","21/602","146/23210",2.0750284594188e-10,3.54829866560614e-08,2.94435617189109e-08,"Spag5/Ncapg/Cdc6/Dscc1/Cep192/Nusap1/Knstrn/Bub1/Cit/Plk1/Kif23/Atm/Ncaph/Ttk/Kif14/Cenpe/Chtf8/Haspin/Espl1/Numa1/Spdl1",21
"GO:0002478","BP","GO:0002478","antigen processing and presentation of exogenous peptide antigen","10/602","25/23210",2.9449577698547e-10,4.84219017928033e-08,4.01801930542929e-08,"Cd74/H2-Aa/Tap1/H2-DMb2/H2-DMa/H2-Eb1/B2m/H2-K1/H2-Ab1/H2-DMb1",10
"GO:0051052","BP","GO:0051052","regulation of DNA metabolic process","37/602","440/23210",4.0369168540482e-10,6.39178501890965e-08,5.30386346906138e-08,"Foxm1/Kmt2a/Dnmt1/Msh6/Id3/Tex15/Cd40/Chtf18/Dnmt3a/Esco2/Dscc1/Hsf1/Prkdc/Vegfa/Smchd1/Cdc7/Chek2/Aplf/Chek1/Cgas/Usp37/Polq/Atm/Parpbp/Ddx11/Zranb3/Pml/Rmi2/Pif1/Trp53bp1/Ankle1/Ticrr/Chtf8/Tet1/Xrcc1/Nsd2/Hdac10",37
"GO:0000724","BP","GO:0000724","double-strand break repair via homologous recombination","19/602","127/23210",7.63202141972837e-10,1.12506522652892e-07,9.33572130108334e-08,"Mcm2/Mcm5/Tex15/Smchd1/Mcm8/Rad54l/Cdc7/Chek1/Cgas/Polq/Atm/Parpbp/Rmi2/Rbbp8/Trp53bp1/Palb2/H2afx/Xrcc1/Rad54b",19
"GO:0000725","BP","GO:0000725","recombinational repair","19/602","127/23210",7.63202141972837e-10,1.12506522652892e-07,9.33572130108334e-08,"Mcm2/Mcm5/Tex15/Smchd1/Mcm8/Rad54l/Cdc7/Chek1/Cgas/Polq/Atm/Parpbp/Rmi2/Rbbp8/Trp53bp1/Palb2/H2afx/Xrcc1/Rad54b",19
"GO:0044772","BP","GO:0044772","mitotic cell cycle phase transition","32/602","356/23210",1.2256587982564e-09,1.74656378751536e-07,1.44928777197335e-07,"Ube2c/Foxm1/Pole/Cdc6/Klf11/Prkdc/Cep192/Pidd1/Bub1/Iqgap3/Cdc7/Cit/Chek2/Ezh2/Mbd4/Plk1/Chek1/Cdc25a/Usp37/Atm/Pml/Ttk/Cables1/Rbbp8/Kif14/Cenpe/Ticrr/Haspin/Spdl1/Ccnd1/Sox4/Ptprv",32
"GO:0051983","BP","GO:0051983","regulation of chromosome segregation","17/602","104/23210",1.47478231280406e-09,2.03377238297979e-07,1.68761167882841e-07,"Spag5/Cdc6/Chtf18/Cep192/Knstrn/Bub1/Ect2/Cit/Plk1/Mki67/Atm/Ddx11/Rmi2/Ttk/Cenpe/Numa1/Spdl1",17
"GO:0045930","BP","GO:0045930","negative regulation of mitotic cell cycle","25/602","233/23210",2.28927092608997e-09,3.05832287782333e-07,2.53777730951422e-07,"Cdc6/Top2a/Prkdc/Cep192/Pidd1/Bub1/Ints3/Kntc1/Chek2/Ezh2/Mbd4/Plk1/Chek1/Zwilch/Atm/Pml/Ttk/Eme1/Cenpe/Ticrr/Haspin/Spdl1/Ccnd1/Sox4/Ptprv",25
"GO:0019884","BP","GO:0019884","antigen processing and presentation of exogenous antigen","10/602","31/23210",3.47239755372246e-09,4.49833319459501e-07,3.73268891739863e-07,"Cd74/H2-Aa/Tap1/H2-DMb2/H2-DMa/H2-Eb1/B2m/H2-K1/H2-Ab1/H2-DMb1",10
"GO:2000779","BP","GO:2000779","regulation of double-strand break repair","14/602","73/23210",4.85466179100816e-09,6.10402328134115e-07,5.0650805683274e-07,"Foxm1/Tex15/Hsf1/Prkdc/Smchd1/Chek1/Cgas/Polq/Parpbp/Ddx11/Pml/Rmi2/Trp53bp1/Nsd2",14
"GO:1901991","BP","GO:1901991","negative regulation of mitotic cell cycle phase transition","19/602","143/23210",5.84102112111128e-09,7.13439008364307e-07,5.92007253478046e-07,"Cdc6/Prkdc/Cep192/Pidd1/Bub1/Ezh2/Mbd4/Plk1/Chek1/Atm/Pml/Ttk/Cenpe/Ticrr/Haspin/Spdl1/Ccnd1/Sox4/Ptprv",19
"GO:0000077","BP","GO:0000077","DNA damage checkpoint","16/602","101/23210",7.16250950050489e-09,8.50548003184956e-07,7.05779444932792e-07,"Prkdc/Pidd1/Chek2/Mbd4/Plk1/Chek1/Usp28/Atm/Pml/Ints7/Eme1/Trp53bp1/Dot1l/Ccnd1/Sox4/Ptprv",16
"GO:0044774","BP","GO:0044774","mitotic DNA integrity checkpoint","13/602","64/23210",8.26024810265489e-09,9.54393530779721e-07,7.91949818092375e-07,"Cdc6/Top2a/Prkdc/Pidd1/Chek2/Mbd4/Atm/Pml/Eme1/Ticrr/Ccnd1/Sox4/Ptprv",13
"GO:0090068","BP","GO:0090068","positive regulation of cell cycle process","25/602","249/23210",8.93679122799788e-09,1.00538901314976e-06,8.34265552308944e-07,"Ube2c/Spag5/Cdc6/Med1/Uhrf2/Pidd1/Nusap1/Il1b/Ect2/Cdc7/Cit/Ezh2/Kif23/Cdc25a/Ddx11/Pml/Kif14/Prkce/Cenpe/Cspp1/Numa1/Insm1/Ccnd1/Sox4/Ptprv",25
"GO:0002495","BP","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","8/602","19/23210",1.14868573966417e-08,1.25913629155496e-06,1.04482346630723e-06,"Cd74/H2-Aa/H2-DMb2/H2-DMa/H2-Ob/H2-Eb1/H2-Ab1/H2-DMb1",8
"GO:0044770","BP","GO:0044770","cell cycle phase transition","32/602","394/23210",1.44451395818525e-08,1.54382429281049e-06,1.28105579975903e-06,"Ube2c/Foxm1/Pole/Cdc6/Klf11/Prkdc/Cep192/Pidd1/Bub1/Iqgap3/Cdc7/Cit/Chek2/Ezh2/Mbd4/Plk1/Chek1/Cdc25a/Usp37/Atm/Pml/Ttk/Cables1/Rbbp8/Kif14/Cenpe/Ticrr/Haspin/Spdl1/Ccnd1/Sox4/Ptprv",32
"GO:0002504","BP","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","8/602","20/23210",1.87103286380991e-08,1.95089402263106e-06,1.61883973069047e-06,"Cd74/H2-Aa/H2-DMb2/H2-DMa/H2-Ob/H2-Eb1/H2-Ab1/H2-DMb1",8
"GO:0000726","BP","GO:0000726","non-recombinational repair","12/602","57/23210",2.02682747496361e-08,2.06302082273081e-06,1.71188185228756e-06,"Pola1/Xrcc6/Hsf1/Prkdc/Smchd1/Dntt/Polq/Rbbp8/Trp53bp1/Xrcc1/Lig1/Nsd2",12
"GO:0019886","BP","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","7/602","14/23210",2.234933405901e-08,2.22193960702949e-06,1.84375167145322e-06,"Cd74/H2-Aa/H2-DMb2/H2-DMa/H2-Eb1/H2-Ab1/H2-DMb1",7
"GO:0007346","BP","GO:0007346","regulation of mitotic cell cycle","36/602","493/23210",2.86594102050119e-08,2.78452224150968e-06,2.3105792438012e-06,"Ube2c/Kif11/Cdc6/Top2a/Hsf1/Prkdc/Cep192/Pidd1/Nusap1/Bub1/Il1b/Ints3/Cdc7/Kntc1/Cit/Chek2/Ezh2/Mbd4/Plk1/Mki67/Chek1/Zwilch/Cdc25a/Atm/Pml/Ttk/Eme1/Kif14/Cenpe/Ticrr/Haspin/Numa1/Spdl1/Ccnd1/Sox4/Ptprv",36
"GO:0072395","BP","GO:0072395","signal transduction involved in cell cycle checkpoint","9/602","29/23210",3.15341482125822e-08,2.86826560869763e-06,2.38006896923632e-06,"Prkdc/Pidd1/Chek2/Plk1/Chek1/Atm/Pml/Sox4/Ptprv",9
"GO:0072401","BP","GO:0072401","signal transduction involved in DNA integrity checkpoint","9/602","29/23210",3.15341482125822e-08,2.86826560869763e-06,2.38006896923632e-06,"Prkdc/Pidd1/Chek2/Plk1/Chek1/Atm/Pml/Sox4/Ptprv",9
"GO:0072422","BP","GO:0072422","signal transduction involved in DNA damage checkpoint","9/602","29/23210",3.15341482125822e-08,2.86826560869763e-06,2.38006896923632e-06,"Prkdc/Pidd1/Chek2/Plk1/Chek1/Atm/Pml/Sox4/Ptprv",9
"GO:1901988","BP","GO:1901988","negative regulation of cell cycle phase transition","19/602","160/23210",3.76533022980971e-08,3.35349723592427e-06,2.78271115667954e-06,"Cdc6/Prkdc/Cep192/Pidd1/Bub1/Ezh2/Mbd4/Plk1/Chek1/Atm/Pml/Ttk/Cenpe/Ticrr/Haspin/Spdl1/Ccnd1/Sox4/Ptprv",19
"GO:0072413","BP","GO:0072413","signal transduction involved in mitotic cell cycle checkpoint","7/602","15/23210",4.09669204841137e-08,3.43399186410953e-06,2.84950509868861e-06,"Prkdc/Pidd1/Chek2/Atm/Pml/Sox4/Ptprv",7
"GO:1902402","BP","GO:1902402","signal transduction involved in mitotic DNA damage checkpoint","7/602","15/23210",4.09669204841137e-08,3.43399186410953e-06,2.84950509868861e-06,"Prkdc/Pidd1/Chek2/Atm/Pml/Sox4/Ptprv",7
"GO:1902403","BP","GO:1902403","signal transduction involved in mitotic DNA integrity checkpoint","7/602","15/23210",4.09669204841137e-08,3.43399186410953e-06,2.84950509868861e-06,"Prkdc/Pidd1/Chek2/Atm/Pml/Sox4/Ptprv",7
"GO:0045787","BP","GO:0045787","positive regulation of cell cycle","29/602","349/23210",4.20415033421803e-08,3.45629666899655e-06,2.86801348710825e-06,"Ube2c/Spag5/Cdc6/Med1/Hsf1/Uhrf2/Pidd1/Nusap1/Il1b/Ect2/Cdc7/Cit/Chek2/Ezh2/Trim21/Chek1/Kif23/Cdc25a/Ddx11/Pml/Kif14/Prkce/Cenpe/Cspp1/Numa1/Insm1/Ccnd1/Sox4/Ptprv",29
"GO:0006303","BP","GO:0006303","double-strand break repair via nonhomologous end joining","11/602","50/23210",4.86857862520746e-08,3.92701389108715e-06,3.25861171140996e-06,"Pola1/Xrcc6/Hsf1/Prkdc/Smchd1/Dntt/Polq/Trp53bp1/Xrcc1/Lig1/Nsd2",11
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","31/602","395/23210",5.32635411580877e-08,4.21669700834861e-06,3.49898896106736e-06,"Bcl11a/Cd79a/Pknox1/Ncor1/Irf1/Rsad2/Mettl3/Prkdc/Cd74/Ms4a1/Hells/Il1b/Rhoh/Cd19/Il15/Fancd2/Atm/H2-Aa/Nfkbid/H2-DMa/Dcaf1/Cd79b/Tlr9/Irf2bp2/Slamf8/Gon4l/B2m/Rag1/Il1rl2/H2-Ab1/Sox4",31
"GO:0006282","BP","GO:0006282","regulation of DNA repair","16/602","117/23210",6.14659887055616e-08,4.77758366756865e-06,3.96440922368885e-06,"Foxm1/Tex15/Hsf1/Prkdc/Smchd1/Chek1/Cgas/Polq/Parpbp/Ddx11/Pml/Rmi2/Trp53bp1/Xrcc1/Nsd2/Hdac10",16
"GO:0051053","BP","GO:0051053","negative regulation of DNA metabolic process","18/602","153/23210",9.90755433096208e-08,7.56335620801123e-06,6.27602595777109e-06,"Kmt2a/Msh6/Hsf1/Smchd1/Chek2/Chek1/Cgas/Polq/Atm/Parpbp/Zranb3/Pml/Rmi2/Pif1/Trp53bp1/Ankle1/Tet1/Xrcc1",18
"GO:0010948","BP","GO:0010948","negative regulation of cell cycle process","22/602","226/23210",1.20268174268608e-07,9.02011307014562e-06,7.48483374487922e-06,"Msh6/Rbm14/Cdc6/Prkdc/Cep192/Pidd1/Bub1/Chek2/Ezh2/Mbd4/Plk1/Chek1/Atm/Pml/Ttk/Cenpe/Ticrr/Haspin/Spdl1/Ccnd1/Sox4/Ptprv",22
"GO:0051304","BP","GO:0051304","chromosome separation","14/602","95/23210",1.58949465372025e-07,1.16607443145664e-05,9.67601313390923e-06,"Cdc6/Top2a/Cep192/Bub1/Cit/Plk1/Atm/Ncaph/Ttk/Eme1/Cenpe/Espl1/Numa1/Spdl1",14
"GO:0048002","BP","GO:0048002","antigen processing and presentation of peptide antigen","12/602","68/23210",1.60931909838461e-07,1.16607443145664e-05,9.67601313390923e-06,"Cd74/H2-Aa/Tap1/H2-DMb2/H2-DMa/H2-Ob/H2-T24/H2-Eb1/B2m/H2-K1/H2-Ab1/H2-DMb1",12
"GO:0009314","BP","GO:0009314","response to radiation","30/602","395/23210",1.78511330518922e-07,1.27189322994732e-05,1.05540909447152e-05,"Kmt2a/Cacna1e/Msh6/Mettl3/Xrcc6/Hsf1/Prkdc/Ect2/Ints3/Rad54l/Per3/Chek2/Mbd4/Pold3/Chek1/Usp28/Cdc25a/Fancd2/Atm/Uaca/Tanc1/Zranb3/Pml/Ints7/Pold1/Ticrr/H2afx/Rag1/Ccnd1/Rad54b",30
"GO:0033044","BP","GO:0033044","regulation of chromosome organization","28/602","356/23210",2.25219904645972e-07,1.57838539731399e-05,1.30973438939936e-05,"Kmt2a/Mcm2/Dnmt1/Pax5/Cdc6/Ncor1/Top2a/Atad2/Paxbp1/Vegfa/Cep192/Bub1/Gfi1/Cit/Plk1/Mki67/Chek1/Atm/Ddx11/Pml/Rmi2/Ttk/Pif1/Cenpe/Tet1/Xrcc1/Numa1/Spdl1",28
"GO:0031023","BP","GO:0031023","microtubule organizing center organization","16/602","130/23210",2.71890126761051e-07,1.8747262772637e-05,1.55563620914218e-05,"Chordc1/Rbm14/Kif11/Cep192/Sass6/Plk1/Chek1/Cntrob/Ccp110/Wdr62/Gcc2/Ckap5/Crocc/Spice1/C2cd3/Alms1",16
"GO:0071346","BP","GO:0071346","cellular response to interferon-gamma","15/602","115/23210",2.98261001016797e-07,2.02391393547112e-05,1.67943120037862e-05,"Med1/Irf1/Acod1/Stat1/Stxbp1/Gbp2/Parp14/Gbp7/Irgm1/Irgm2/H2-Ab1/Rpl13a/Nlrc5/Gbp6/Gbp5",15
"GO:0007051","BP","GO:0007051","spindle organization","18/602","165/23210",3.12776408962891e-07,2.08924866924431e-05,1.73364555625813e-05,"Pcnt/Spag5/Kif11/Ncor1/Kifc5b/Cep192/Knstrn/Chek2/Tacc2/Plk1/Kif23/Aspm/Wdr62/Ckap5/Spice1/Cenpe/Espl1/Numa1",18
"GO:1901990","BP","GO:1901990","regulation of mitotic cell cycle phase transition","23/602","259/23210",3.28499369849269e-07,2.16051508631635e-05,1.79278198605998e-05,"Ube2c/Cdc6/Prkdc/Cep192/Pidd1/Bub1/Cdc7/Ezh2/Mbd4/Plk1/Chek1/Cdc25a/Atm/Pml/Ttk/Kif14/Cenpe/Ticrr/Haspin/Spdl1/Ccnd1/Sox4/Ptprv",23
"GO:0007099","BP","GO:0007099","centriole replication","9/602","38/23210",4.16724015469137e-07,2.69923510019782e-05,2.23980850419616e-05,"Rbm14/Cep192/Sass6/Cntrob/Ccp110/Wdr62/Spice1/C2cd3/Alms1",9
"GO:0000018","BP","GO:0000018","regulation of DNA recombination","14/602","103/23210",4.4242191333581e-07,2.82291593956804e-05,2.34243809574498e-05,"Msh6/Tex15/Cd40/Smchd1/Aplf/Chek1/Cgas/Polq/Parpbp/Zranb3/Rmi2/Trp53bp1/Ankle1/Nsd2",14
"GO:0098534","BP","GO:0098534","centriole assembly","9/602","39/23210",5.29355802789764e-07,3.32793537783271e-05,2.76150008576085e-05,"Rbm14/Cep192/Sass6/Cntrob/Ccp110/Wdr62/Spice1/C2cd3/Alms1",9
"GO:0002221","BP","GO:0002221","pattern recognition receptor signaling pathway","16/602","137/23210",5.60266714536773e-07,3.47121768789087e-05,2.88039485581834e-05,"Irf1/Havcr2/Rsad2/Acod1/Irf7/Fcnb/Ifih1/Gfi1/Trim30a/Tlr3/Ddx60/Prkce/Tlr9/Tifa/Tlr11/Irgm2",16
